case_id,photos
-6720849438880754673,3
-6732063356501658741,1
-6810169581887533982,1
-6811189384503856103,3
-6825636979443138102,3
-683808336710883373,3
-6870872571760343959,1
-694718296081673949,3
-6949936448954371336,2
-6965537796166785189,3
-6969050153229908945,1
-702063769022380390,2
-7030360920237166714,3
-7034573503756761597,3
-7055506519877140223,3
-7099821209555498751,1
-7140014089720664807,3
-7140426751919971254,3
-7153750305679064145,2
-7157869548539822982,3
-7191815880900565632,3
-7207936904591577531,1
-7221648301305734790,1
-7226629190452339625,3
-7291047305406945771,2
-7324602606007068226,3
-7365318175783188533,2
-736839246514769800,1
-7430852718957600670,1
-7432151961683759568,3
-7467584756618193499,2
-7521901094962732083,3
-75535091576112971,2
-7574036954441544498,2
-7612878196843202325,3
-7638839758035680,3
-7648328073811044824,1
-7657236532842762375,3
-7686686797903824624,3
-7689036669663361004,3
-7723715182116517809,1
-7792178611702309028,1
-7809998042930914346,1
-781109197195243132,3
-7818046014250231985,1
-7820093713010813140,3
-7850910308850229084,3
-7896793800778587250,1
-7924409046716568581,3
-7963486544231454621,3
-7982904542201097459,1
-8006613820033704079,3
-804039651290065439,2
-8041117472456032841,1
-8049510855839127388,3
-8054001866397330447,3
-8074230965389996366,2
-809338751368705429,3
-8116682316751899889,3
-8140327201126128987,1
-814440459687669003,1
-8148558003760418206,2
-8156476212310728850,3
-816196306713002260,2
-8286624049901325116,1
-8289380783204764467,1
-8299809889773574040,1
-8330055213516577390,3
-8348443567838198812,1
-8353405475093469225,3
-8385554111491399495,1
-8385695421243936139,3
-8425743791157482594,3
-8425933059055994650,3
-8453741722247259271,1
-845380407717415265,2
-8463684650171812258,1
-8551593375485997846,1
-8557698164091615119,2
-8558029126954162564,3
-859326882085129131,3
-8607840516776510795,3
-861934705126105157,2
-8631687299829398206,1
-8682722200146064228,2
-8689166439132544050,1
-8714014630063136316,1
-8733132539249310652,3
-8773804408232537379,3
-8820825380794020489,3
-8836604122134436193,2
-8840767215866317870,3
-8894705295203367911,3
-8894788461524728705,2
-8930963458793744903,1
-8955352738759646975,1
-8971734718128539001,1
-9023189933613259965,3
-90727038662084249,3
-9088690164876927903,3
-91617857795132386,1
-9190831902616637151,2
-9212359218854294582,1
-9215921701035518354,3
-9221405510313435829,2
-930794702419748852,1
-973877183987096833,3
-99532966175607458,3
1030761287403909506,1
1030861607933967063,3
1056335587924189931,1
1112871911944244778,1
1114663446458712487,3
1135209185406073197,1
1172852736661377291,1
1227727128416036901,2
1239121639034845096,3
12608478152982826,3
1270975923045429745,1
1272598141202058214,3
1309054410342893419,3
1315451198768282216,3
13835625549189005,1
1391938850483564684,3
1401206047265686434,1
1416449344928685496,3
1435283655405315411,3
1441821773832610687,1
1444216325514343990,3
1458168332783554305,1
1500116317334640431,1
1535583074068286237,2
1536806056159749402,3
1557197475595341234,3
1596080309290550584,3
1610643527361135382,3
1622051857171397810,3
1643819065600517653,3
1655608594195465621,2
1689387674613114667,3
1706523837116884451,3
1724238275387613430,3
1744488958958347097,1
1754947382186897051,2
1801354510756212900,3
1811694616504302388,2
1813851179464808841,3
1818532041670121872,1
1824804369047094023,3
1825362545195630068,1
1843946921972634656,1
1853978778702608787,1
1873603371710267239,1
1880877836911397327,3
1882819785205575342,3
1897960183334264196,3
1907862242724374121,1
193459679930269352,1
1947626991996543661,2
1970249032025055411,1
1974095114082906999,1
197413089653793303,3
1978971590503055521,3
1983213512230811667,1
1998812222166588964,3
1998979039035514842,1
2018015928333128817,2
2032126799370161520,1
205942603941902229,1
2079054500630628050,3
2084462406497898667,3
2085120739547287781,2
2101168462271180094,1
2103712614285052297,1
2105117466117805529,2
2126547957554095009,3
2147765736386887457,1
2166695033864361307,2
2216178882041769983,2
2236754577021954519,2
2263627624101810444,3
2265153482396412066,1
2324900476779413450,1
2340924818843837455,1
2383547606705121100,3
2405900134890460004,1
2423832154619234155,3
2437853527528263332,3
2445662674516338215,3
2458798159426055234,2
2462992227064038854,1
2466364176000821696,3
2476186720631597836,1
2479027514739303183,2
2497680448814826742,3
2511459874265987044,3
2544728617164619888,2
2568994983757403058,3
2590383695347966390,3
2639251888620867402,2
2642674397494652844,2
2644936636482505876,3
266896036315913072,2
2669401123043295329,1
2696418856835255165,1
2703731886619579739,1
2723647696931718217,1
2745337923083433502,3
2794438463747787756,1
2820953268023918077,1
2890351409108050673,3
2911542453433068160,3
2934759313746076779,1
2935245303932322231,2
2942902750715843167,3
3040361587480027503,1
3048596608278672157,1
3054184823275693364,1
3074771250611273293,1
3140482091238147853,3
3141781039761530613,3
3147497940114201569,1
3151112408724701096,2
3215944651782994554,1
3252058551465992298,2
3299546696242067710,1
3304530303509288213,3
3357713686961187228,2
3375457960029368063,3
3403912011860231714,1
3423507520383175516,3
3484176579142737523,1
3508096970709139981,3
3560883711994754354,3
3561189005885836895,3
3596099349781140328,1
3617649945346954163,1
3641213346667363410,3
3674651721709405257,3
3690588342135769403,3
3709961426407971963,1
3734363760523261685,3
3751140674205808783,3
3756269730817286328,3
3769301197196891122,1
3792345894543337291,1
3877679661085329616,1
3907804873656496630,1
3908037707863400902,3
3911133436257776280,3
3917475636034669186,2
3923679939537757782,3
3934330786494694357,3
3998476769988018648,2
4025578086861637599,2
4028764341103818445,3
4101257749965063444,2
4116581521009813672,3
4118932128019747471,3
4168671109103152917,1
4174741067077204848,1
4201330480450077270,3
4211680797398835347,2
4281678746282882507,3
4286344291006467189,1
4336168799610000274,2
4399950946871375227,3
4408864411024307516,3
4415183841130068283,2
441812726350535151,3
4424458690494893258,1
4496465657865018232,1
4497213824147905451,2
450266742138995514,3
4527849666026023929,3
4534906370701159713,2
4568546558823066996,1
4612431587689030172,3
461344679725709543,3
4631656125268536766,1
4642244126023808342,1
4651898277938950047,3
465628915945559990,2
4661589930380459281,1
4681724446514740962,3
4683669774378067614,1
4713441811380055126,3
4731527092242066076,3
4776545721984433702,1
4807333818606185992,3
4856684765008893013,1
4860862531174713006,3
4876519404118767625,1
4925212504509965956,1
4943128061314802945,3
4944394471941616638,3
4981924219389224217,3
5069127474605540768,1
5100815424449862591,3
5103634422680487672,2
522333850328332069,3
522633946607200300,1
5254912154391653537,3
5271771538970840283,3
5304169411078336610,1
5304541662818362266,2
5305014451993946534,1
532342982488973172,1
5333597754332194335,2
5345993529885915940,3
5351869948896770913,3
5361080985667681926,1
5366400551379791972,1
5396936597310548581,2
540262123856998731,1
542009806433449598,1
5454196086035642390,1
5461287862238262172,1
5483324975095927683,3
5530574831873823780,3
5542388212308879443,1
5551028479981095625,3
5652232162459108045,1
56856107549414564,2
5735405458925326543,1
5740361175836246381,2
5745332175467231773,3
5746719202949866434,2
5746971031254025438,3
5757270424284677695,1
5820803283917487342,2
5857944633962909834,3
5858206430170814591,1
5874158619662441175,3
5905650088890980532,1
5934517756964685033,1
597372832999055528,1
5974525857587806349,1
6030765418480115554,3
6055835778532338513,3
6075470705800251807,3
6089706399885906315,3
6144335021487759808,3
6165277088916834017,2
6191527294440585937,1
6217701841771476491,1
6236077446945003365,1
6262885913124679868,1
6321320097219260140,1
6338096152676330894,2
634565329435007721,2
6346810280364957510,1
6347677850823564715,3
6359230714617803548,2
6359749307485054893,3
6383063947856657975,1
6386040824107040991,1
6415504144508898342,1
6445721484338638524,3
6478808856238069889,1
6497616863106691573,2
6502156328163784414,3
6502303333756025967,1
6515246538929887996,1
6515291515799861767,2
6527306476712657067,3
6531930980591892054,3
6536128111500436890,1
655751619108090615,3
6588231721150624914,3
6619530900668871773,3
6633711489961225934,3
6660150832770676554,3
6706936975924217543,1
6762980127945112427,1
6771283846992121722,2
6776202438792784405,1
6807701980410857407,3
6830532847787111027,3
6833735103241008862,3
6869194189201531596,1
688514674509392111,1
6888944791448553400,2
6894504397941242248,1
691205466194376511,1
6927146015218290329,3
6965753912815389556,1
699107891649980076,3
7012247028724110226,3
7016019628017771783,3
7041987018660879909,3
7074318464321054653,3
7080229892107845400,1
7089137012855627786,2
7099728311668861821,2
710973518737806848,1
713531290049695300,1
7148753940245439812,3
7151606719275056352,2
7186873815594515823,3
7202299462338645173,2
723321381619482611,3
7255239130670710022,1
7277524144843033849,1
728144289746942042,3
7303749197675363359,3
7315911277383529493,3
7330209143801668860,3
7346307195670230922,3
7361347661641208429,2
7379308387271244241,3
7466346362776293226,1
7470478986187106035,3
748522260497776973,3
7556612673991404518,3
7575087341348739013,2
7604489673929377496,1
7624665106685351170,1
7644111098487913818,3
7649254551787655826,1
7681559784608965196,1
7692639177717688478,1
7710746745920131018,1
7722204000693864047,3
7722259034419551319,2
7725839505462261463,1
7749309406145954049,1
7771035470746933413,3
7800024012977097232,1
7834516257211580148,2
7852465164599698161,1
7866158614607619089,2
790360683690520778,3
7948232149813529685,1
7960457666530672586,1
7978747053447862871,3
7983361504090468022,3
7992099817197638769,3
7992843040462873166,1
799511949408239093,3
8002449745163938149,3
8010741868956993218,2
8030451491615126764,1
8044743903952045480,1
8072397233148323694,3
8072416612420928240,1
8112259532965094414,3
8124107657899971439,1
813985591513517003,1
8142922305296725414,2
817047050170665975,3
8171250579327107023,3
8180816002721912970,1
8261905725995338922,1
8325228546832495578,3
833670545830613221,3
8366685296281366557,3
8376081099122980433,3
8409513976707788794,2
8459067086276982316,3
8460240121716144698,1
8479149565436834873,3
8515344946680844818,3
8526851448906485320,1
8541067645190369594,3
8579033044441938004,3
8581055912873173590,3
860087713358687580,1
8603926466638692081,3
8610378261454617847,3
8614178873865901602,1
867712136283809616,3
8703075882165822765,2
8731979303690334416,1
8732747911428537693,1
8768147614562809909,1
8782672317230447778,1
8814239314811133615,3
8853180463163844569,1
8882028009541975226,3
8882862791433721722,1
8884082107026614373,3
8886144114619169253,3
8886524763396752520,1
890140358870966492,3
892392881379564588,2
8931407120322983957,3
8934048152803936311,3
8954420160516502648,3
8963932600544524791,3
9032393467447326209,3
9065470435921179343,3
9114324332147869982,3
912700613781949239,1
9149625526357060704,3
9202204272208156818,1
920332081415138775,3
930124461134778983,3
935346003160692168,1
943125820577516833,1
963255640946853770,3
963694477603925530,1
966663640331506400,3
