field,category,split,cases
resolved_image_count,3,train,10
resolved_image_count,2,validation,2
resolved_image_count,3,validation,1
fitzpatrick_skin_type,FST1,test,1
fitzpatrick_skin_type,FST2,test,1
fitzpatrick_skin_type,FST3,test,1
fitzpatrick_skin_type,FST5,test,1
fitzpatrick_skin_type,Missing,test,1
fitzpatrick_skin_type,NONE_IDENTIFIED,test,1
fitzpatrick_skin_type,FST1,train,2
fitzpatrick_skin_type,FST2,train,4
fitzpatrick_skin_type,FST3,train,1
fitzpatrick_skin_type,FST4,train,2
fitzpatrick_skin_type,FST5,train,1
fitzpatrick_skin_type,Missing,train,8
fitzpatrick_skin_type,NONE_IDENTIFIED,train,1
fitzpatrick_skin_type,FST2,validation,2
fitzpatrick_skin_type,Missing,validation,1
monk_skin_tone_us,2.0,test,3
monk_skin_tone_us,3.0,test,1
monk_skin_tone_us,4.0,test,1
monk_skin_tone_us,7.0,test,1
monk_skin_tone_us,1.0,train,2
monk_skin_tone_us,2.0,train,4
monk_skin_tone_us,3.0,train,5
monk_skin_tone_us,4.0,train,3
monk_skin_tone_us,5.0,train,2
monk_skin_tone_us,6.0,train,2
monk_skin_tone_us,7.0,train,1
monk_skin_tone_us,2.0,validation,2
monk_skin_tone_us,4.0,validation,1
monk_skin_tone_india,1.0,test,1
monk_skin_tone_india,2.0,test,2
monk_skin_tone_india,3.0,test,2
monk_skin_tone_india,5.0,test,1
monk_skin_tone_india,1.0,train,1
monk_skin_tone_india,2.0,train,4
monk_skin_tone_india,3.0,train,11
monk_skin_tone_india,4.0,train,2
monk_skin_tone_india,6.0,train,1
monk_skin_tone_india,2.0,validation,3
age_group,AGE_30_TO_39,test,2
age_group,AGE_40_TO_49,test,2
age_group,AGE_50_TO_59,test,1
age_group,AGE_UNKNOWN,test,1
age_group,AGE_18_TO_29,train,1
age_group,AGE_40_TO_49,train,6
age_group,AGE_50_TO_59,train,1
age_group,AGE_UNKNOWN,train,11
age_group,AGE_18_TO_29,validation,1
age_group,AGE_50_TO_59,validation,1
age_group,AGE_UNKNOWN,validation,1
sex_at_birth,FEMALE,test,4
sex_at_birth,MALE,test,1
sex_at_birth,OTHER_OR_UNSPECIFIED,test,1
sex_at_birth,FEMALE,train,6
sex_at_birth,MALE,train,3
sex_at_birth,OTHER_OR_UNSPECIFIED,train,10
sex_at_birth,FEMALE,validation,1
sex_at_birth,MALE,validation,1
sex_at_birth,OTHER_OR_UNSPECIFIED,validation,1
manifest_image_count,2,test,1
manifest_image_count,3,test,5
manifest_image_count,1,train,7
manifest_image_count,2,train,2
manifest_image_count,3,train,10
manifest_image_count,2,validation,2
manifest_image_count,3,validation,1
existing_image_count,2,test,1
existing_image_count,3,test,5
existing_image_count,1,train,7
existing_image_count,2,train,2
existing_image_count,3,train,10
existing_image_count,2,validation,2
existing_image_count,3,validation,1
retained_image_count,2,test,1
retained_image_count,3,test,5
retained_image_count,1,train,7
retained_image_count,2,train,2
retained_image_count,3,train,10
retained_image_count,2,validation,2
retained_image_count,3,validation,1
image_count,2,test,1
image_count,3,test,5
image_count,1,train,7
image_count,2,train,2
image_count,3,train,10
image_count,2,validation,2
image_count,3,validation,1
